Borough,Year,Category,Number Tested,Mean Scale Score
BRONX,2024,Asian,571,446
BRONX,2024,Black,2005,437
BRONX,2024,Hispanic,6250,436
BRONX,2024,Multi-Racial,95,446
BRONX,2024,Native American,103,436
BRONX,2024,White,450,446
BRONX,2024,Asian,532,448
BRONX,2024,Black,2219,437
BRONX,2024,Hispanic,6553,437
BRONX,2024,Multi-Racial,76,446
BRONX,2024,Native American,96,437
BRONX,2024,White,433,446
BRONX,2024,Asian,542,447
BRONX,2024,Black,2378,435
BRONX,2024,Hispanic,6987,434
BRONX,2024,Multi-Racial,89,446
BRONX,2024,Native American,116,440
BRONX,2024,White,444,445
BRONX,2024,Asian,530,451
BRONX,2024,Black,2275,436
BRONX,2024,Hispanic,6829,435
BRONX,2024,Multi-Racial,61,441
BRONX,2024,Native American,99,439
BRONX,2024,White,471,445
BRONX,2024,Asian,507,459
BRONX,2024,Black,2441,444
BRONX,2024,Hispanic,6852,442
BRONX,2024,Multi-Racial,59,456
BRONX,2024,Native American,137,444
BRONX,2024,White,406,449
BRONX,2024,Asian,517,457
BRONX,2024,Black,2625,442
BRONX,2024,Hispanic,7307,442
BRONX,2024,Multi-Racial,27,449
BRONX,2024,Native American,89,441
BRONX,2024,White,452,450
BRONX,2024,Asian,3199,451
BRONX,2024,Black,13943,439
BRONX,2024,Hispanic,40778,438
BRONX,2024,Multi-Racial,407,447
BRONX,2024,Native American,640,440
BRONX,2024,White,2656,447
BRONX,2023,Asian,542,447
BRONX,2023,Black,2235,437
BRONX,2023,Hispanic,6409,436
BRONX,2023,Multi-Racial,68,445
BRONX,2023,Native American,96,439
BRONX,2023,White,470,445
BRONX,2023,Asian,582,452
BRONX,2023,Black,2418,440
BRONX,2023,Hispanic,6945,439
BRONX,2023,Multi-Racial,83,450
BRONX,2023,Native American,111,446
BRONX,2023,White,486,451
BRONX,2023,Asian,564,453
BRONX,2023,Black,2540,440
BRONX,2023,Hispanic,7288,440
BRONX,2023,Multi-Racial,67,448
BRONX,2023,Native American,103,443
BRONX,2023,White,497,449
BRONX,2023,Asian,524,454
BRONX,2023,Black,2423,439
BRONX,2023,Hispanic,6807,437
BRONX,2023,Multi-Racial,62,444
BRONX,2023,Native American,129,440
BRONX,2023,White,438,445
BRONX,2023,Asian,541,456
