Borough,Year,Category,Number Tested,Mean Scale Score
BRONX,2024,Not SWD,7033,441
BRONX,2024,SWD,2446,442
BRONX,2024,Not SWD,7347,
BRONX,2024,SWD,2568,426
BRONX,2024,Not SWD,7878,440
BRONX,2024,SWD,2757,423
BRONX,2024,Not SWD,7456,441
BRONX,2024,SWD,2813,424
BRONX,2024,Not SWD,7763,448
BRONX,2024,SWD,2654,432
BRONX,2024,Not SWD,8198,448
BRONX,2024,SWD,2870,430
BRONX,2024,Not SWD,45675,443
BRONX,2024,SWD,16108,427
BRONX,2023,Not SWD,7491,441
BRONX,2023,SWD,2329,426
BRONX,2023,Not SWD,7900,445
BRONX,2023,SWD,2726,429
BRONX,2023,Not SWD,8186,446
BRONX,2023,SWD,2873,428
BRONX,2023,Not SWD,7722,443
BRONX,2023,SWD,2664,426
BRONX,2023,Not SWD,8106,447
BRONX,2023,SWD,2975,429
BRONX,2023,Not SWD,8680,452
BRONX,2023,SWD,2911,434
BRONX,2023,Not SWD,48085,446
BRONX,2023,SWD,16478,429
BRONX,2022,Not SWD,8037,594
BRONX,2022,SWD,2540,580
BRONX,2022,Not SWD,8430,591
BRONX,2022,SWD,2770,575
BRONX,2022,Not SWD,8590,598
BRONX,2022,SWD,2793,582
BRONX,2022,Not SWD,8142,600
BRONX,2022,SWD,2923,583
BRONX,2022,Not SWD,8490,604
BRONX,2022,SWD,2911,588
BRONX,2022,Not SWD,8727,600
BRONX,2022,SWD,2964,583
BRONX,2022,Not SWD,50416,598
BRONX,2022,SWD,16901,582
BRONX,2019,Not SWD,10656,598
BRONX,2019,SWD,3466,581
BRONX,2019,Not SWD,10976,597
BRONX,2019,SWD,3681,579
BRONX,2019,Not SWD,10634,599
BRONX,2019,SWD,3762,580
BRONX,2019,Not SWD,10241,596
BRONX,2019,SWD,3599,577
BRONX,2019,Not SWD,10202,598
BRONX,2019,SWD,3596,580
BRONX,2019,Not SWD,10483,599
BRONX,2019,SWD,3500,584
BRONX,2019,Not SWD,63192,598
BRONX,2019,SWD,21604,580
BRONX,2018,Not SWD,11344,597
BRONX,2018,SWD,3443,580
BRONX,2018,Not SWD,11015,598
BRONX,2018,SWD,3757,580
BRONX,2018,Not SWD,11144,598
BRONX,2018,SWD,3790,581
BRONX,2018,Not SWD,10236,598
BRONX,2018,SWD,3692,581
BRONX,2018,Not SWD,10516,599
BRONX,2018,SWD,3625,583
