Borough,Category,Year,# Total Cohort,# Grads,% Grads,# Dropout,% Dropout
Bronx,Asian,2019,903,859,95.1,10,1.1
Bronx,Asian,2018,932,879,94.3,20,2.1
Bronx,Asian,2017,993,925,93.2,16,1.6
Bronx,Asian,2016,974,906,93.0,21,2.2
Bronx,Asian,2015,999,923,92.4,25,2.5
Bronx,Asian,2014,968,866,89.5,29,3.0
Bronx,Asian,2013,883,801,90.7,23,2.6
Bronx,Asian,2012,981,876,89.3,31,3.2
Bronx,Asian,2019,903,848,93.9,11,1.2
Bronx,Asian,2018,932,871,93.5,20,2.1
Bronx,Asian,2017,993,914,92.0,16,1.6
Bronx,Asian,2016,974,898,92.2,22,2.3
Bronx,Asian,2015,999,910,91.1,25,2.5
Bronx,Asian,2014,968,849,87.7,29,3.0
Bronx,Asian,2013,883,788,89.2,23,2.6
Bronx,Asian,2012,981,859,87.6,31,3.2
Bronx,Asian,2018,931,889,95.5,23,2.5
Bronx,Asian,2017,991,934,94.2,32,3.2
Bronx,Asian,2016,972,919,94.5,33,3.4
Bronx,Asian,2015,999,948,94.9,33,3.3
Bronx,Asian,2014,963,884,91.8,53,5.5
Bronx,Asian,2013,880,810,92.0,36,4.1
Bronx,Asian,2012,974,892,91.6,40,4.1
Bronx,Asian,2018,931,888,95.4,23,2.5
Bronx,Asian,2017,991,932,94.0,32,3.2
Bronx,Asian,2016,972,916,94.2,33,3.4
Bronx,Asian,2015,999,947,94.8,34,3.4
Bronx,Asian,2014,963,881,91.5,53,5.5
Bronx,Asian,2013,880,808,91.8,36,4.1
Bronx,Asian,2012,974,890,91.4,40,4.1
Bronx,Asian,2017,991,934,94.2,32,3.2
Bronx,Asian,2016,971,923,95.1,35,3.6
Bronx,Asian,2015,1000,952,95.2,33,3.3
Bronx,Asian,2014,962,899,93.5,44,4.6
Bronx,Asian,2013,878,812,92.5,38,4.3
Bronx,Asian,2012,974,896,92.0,42,4.3
Bronx,Black,2019,3151,2391,75.9,254,8.1
Bronx,Black,2018,3263,2528,77.5,234,7.2
Bronx,Black,2017,3488,2623,75.2,287,8.2
Bronx,Black,2016,3481,2548,73.2,300,8.6
Bronx,Black,2015,3643,2503,68.7,448,12.3
Bronx,Black,2014,3745,2544,67.9,394,10.5
Bronx,Black,2013,3834,2532,66.0,389,10.1
Bronx,Black,2012,3963,2581,65.1,467,11.8
Bronx,Black,2019,3151,2306,73.2,258,8.2
Bronx,Black,2018,3263,2470,75.7,235,7.2
Bronx,Black,2017,3488,2526,72.4,287,8.2
Bronx,Black,2016,3481,2493,71.6,306,8.8
Bronx,Black,2015,3643,2361,64.8,450,12.4
Bronx,Black,2014,3745,2398,64.0,394,10.5
Bronx,Black,2013,3834,2401,62.6,389,10.1
Bronx,Black,2012,3963,2479,62.6,467,11.8
Bronx,Black,2018,3227,2618,81.1,305,9.5
Bronx,Black,2017,3458,2730,78.9,407,11.8
Bronx,Black,2016,3463,2712,78.3,420,12.1
Bronx,Black,2015,3611,2690,74.5,545,15.1
Bronx,Black,2014,3697,2731,73.9,617,16.7
Bronx,Black,2013,3803,2748,72.3,574,15.1
Bronx,Black,2012,3961,2787,70.4,652,16.5
Bronx,Black,2018,3227,2608,80.8,306,9.5
Bronx,Black,2017,3458,2721,78.7,411,11.9
Bronx,Black,2016,3463,2693,77.8,421,12.2
Bronx,Black,2015,3611,2668,73.9,553,15.3
Bronx,Black,2014,3697,2710,73.3,622,16.8
Bronx,Black,2013,3803,2719,71.5,574,15.1
Bronx,Black,2012,3961,2760,69.7,653,16.5
Bronx,Black,2017,3435,2764,80.5,421,12.3
Bronx,Black,2016,3453,2758,79.9,479,13.9
Bronx,Black,2015,3604,2752,76.4,561,15.6
Bronx,Black,2014,3688,2804,76.0,617,16.7
Bronx,Black,2013,3772,2813,74.6,643,17.0
Bronx,Black,2012,3956,2891,73.1,711,18.0
Bronx,Hispanic,2019,7369,5806,78.8,638,8.7
Bronx,Hispanic,2018,7409,5767,77.8,682,9.2
Bronx,Hispanic,2017,7812,5950,76.2,655,8.4
Bronx,Hispanic,2016,7995,5706,71.4,879,11.0
