Borough,Category,Year,# Total Cohort,# Grads,% Grads,# Dropout,% Dropout
Bronx,Econ Disadv,2019,10114,7979,78.9,864,8.5
Bronx,Econ Disadv,2018,10137,7986,78.8,872,8.6
Bronx,Econ Disadv,2017,10685,8231,77.0,870,8.1
Bronx,Econ Disadv,2016,10960,7986,72.9,1084,9.9
Bronx,Econ Disadv,2015,11112,7744,69.7,1449,13.0
Bronx,Econ Disadv,2014,11100,7432,67.0,1315,11.8
Bronx,Econ Disadv,2013,10274,6883,67.0,1166,11.3
Bronx,Econ Disadv,2012,10416,6832,65.6,1295,12.4
Bronx,Econ Disadv,2019,10114,7724,76.4,879,8.7
Bronx,Econ Disadv,2018,10137,7793,76.9,876,8.6
Bronx,Econ Disadv,2017,10685,7928,74.2,874,8.2
Bronx,Econ Disadv,2016,10960,7784,71.0,1090,9.9
Bronx,Econ Disadv,2015,11112,7272,65.4,1462,13.2
Bronx,Econ Disadv,2014,11100,6978,62.9,1315,11.8
Bronx,Econ Disadv,2013,10274,6524,63.5,1166,11.3
Bronx,Econ Disadv,2012,10416,6511,62.5,1295,12.4
Bronx,Econ Disadv,2018,10090,8294,82.2,1142,11.3
Bronx,Econ Disadv,2017,10548,8522,80.8,1282,12.2
Bronx,Econ Disadv,2016,10856,8503,78.3,1462,13.5
Bronx,Econ Disadv,2015,10980,8332,75.9,1773,16.1
Bronx,Econ Disadv,2014,10834,7907,73.0,2054,19.0
Bronx,Econ Disadv,2013,10254,7338,71.6,1709,16.7
Bronx,Econ Disadv,2012,9972,7191,72.1,1684,16.9
Bronx,Econ Disadv,2018,10090,8260,81.9,1149,11.4
Bronx,Econ Disadv,2017,10548,8487,80.5,1296,12.3
Bronx,Econ Disadv,2016,10856,8458,77.9,1468,13.5
Bronx,Econ Disadv,2015,10980,8269,75.3,1799,16.4
Bronx,Econ Disadv,2014,10834,7826,72.2,2076,19.2
Bronx,Econ Disadv,2013,10254,7264,70.8,1710,16.7
Bronx,Econ Disadv,2012,9972,7121,71.4,1688,16.9
Bronx,Econ Disadv,2017,10509,8610,81.9,1342,12.8
Bronx,Econ Disadv,2016,10829,8631,79.7,1647,15.2
Bronx,Econ Disadv,2015,10973,8510,77.6,1812,16.5
Bronx,Econ Disadv,2014,10803,8137,75.3,2039,18.9
Bronx,Econ Disadv,2013,10158,7530,74.1,1920,18.9
Bronx,Econ Disadv,2012,10002,7418,74.2,1833,18.3
Bronx,Not Econ Disadv,2019,2142,1754,81.9,93,4.3
Bronx,Not Econ Disadv,2018,2350,1935,82.3,102,4.3
Bronx,Not Econ Disadv,2017,2467,1989,80.6,131,5.3
Bronx,Not Econ Disadv,2016,2461,1952,79.3,187,7.6
Bronx,Not Econ Disadv,2015,2779,2008,72.3,310,11.2
Bronx,Not Econ Disadv,2014,2851,1966,69.0,378,13.3
Bronx,Not Econ Disadv,2013,3456,2219,64.2,440,12.7
Bronx,Not Econ Disadv,2012,3422,2153,62.9,462,13.5
Bronx,Not Econ Disadv,2019,2142,1731,80.8,93,4.3
Bronx,Not Econ Disadv,2018,2350,1907,81.1,102,4.3
Bronx,Not Econ Disadv,2017,2467,1940,78.6,131,5.3
Bronx,Not Econ Disadv,2016,2461,1912,77.7,195,7.9
Bronx,Not Econ Disadv,2015,2779,1931,69.5,314,11.3
Bronx,Not Econ Disadv,2014,2851,1886,66.2,378,13.3
Bronx,Not Econ Disadv,2013,3456,2114,61.2,440,12.7
Bronx,Not Econ Disadv,2012,3422,2070,60.5,462,13.5
Bronx,Not Econ Disadv,2018,2296,1982,86.3,126,5.5
Bronx,Not Econ Disadv,2017,2511,2095,83.4,179,7.1
Bronx,Not Econ Disadv,2016,2486,2045,82.3,226,9.1
Bronx,Not Econ Disadv,2015,2832,2152,76.0,344,12.1
Bronx,Not Econ Disadv,2014,2995,2159,72.1,517,17.3
Bronx,Not Econ Disadv,2013,3380,2434,72.0,555,16.4
Bronx,Not Econ Disadv,2012,3830,2472,64.5,693,18.1
Bronx,Not Econ Disadv,2018,2296,1980,86.2,127,5.5
Bronx,Not Econ Disadv,2017,2511,2093,83.4,180,7.2
Bronx,Not Econ Disadv,2016,2486,2037,81.9,226,9.1
Bronx,Not Econ Disadv,2015,2832,2141,75.6,349,12.3
Bronx,Not Econ Disadv,2014,2995,2142,71.5,520,17.4
Bronx,Not Econ Disadv,2013,3380,2423,71.7,555,16.4
Bronx,Not Econ Disadv,2012,3830,2449,63.9,693,18.1
Bronx,Not Econ Disadv,2017,2493,2107,84.5,178,7.1
Bronx,Not Econ Disadv,2016,2476,2066,83.4,243,9.8
Bronx,Not Econ Disadv,2015,2819,2195,77.9,348,12.3
Bronx,Not Econ Disadv,2014,2995,2199,73.4,501,16.7
Bronx,Not Econ Disadv,2013,3405,2484,73.0,590,17.3
Bronx,Not Econ Disadv,2012,3757,2544,67.7,720,19.2
Brooklyn,Econ Disadv,2019,15075,12363,82.0,812,5.4
Brooklyn,Econ Disadv,2018,14955,12393,82.9,750,5.0
Brooklyn,Econ Disadv,2017,15271,12338,80.8,625,4.1
Brooklyn,Econ Disadv,2016,15646,12273,78.4,833,5.3
