Borough,Category,Year,# Total Cohort,# Grads,% Grads,# Dropout,% Dropout
Bronx,Not SWD,2019,9215,7911,85.8,613,6.7
Bronx,Not SWD,2018,9409,8129,86.4,616,6.5
Bronx,Not SWD,2017,9860,8439,85.6,594,6.0
Bronx,Not SWD,2016,10353,8384,81.0,859,8.3
Bronx,Not SWD,2015,10545,8236,78.1,1116,10.6
Bronx,Not SWD,2014,10723,8008,74.7,1094,10.2
Bronx,Not SWD,2013,10612,7865,74.1,1023,9.6
Bronx,Not SWD,2012,10827,7787,71.9,1200,11.1
Bronx,Not SWD,2019,9215,7703,83.6,623,6.8
Bronx,Not SWD,2018,9409,7971,84.7,619,6.6
Bronx,Not SWD,2017,9860,8190,83.1,596,6.0
Bronx,Not SWD,2016,10353,8203,79.2,870,8.4
Bronx,Not SWD,2015,10545,7804,74.0,1128,10.7
Bronx,Not SWD,2014,10723,7600,70.9,1094,10.2
Bronx,Not SWD,2013,10612,7499,70.7,1023,9.6
Bronx,Not SWD,2012,10827,7469,69.0,1200,11.1
Bronx,Not SWD,2018,9385,8340,88.9,791,8.4
Bronx,Not SWD,2017,9880,8719,88.2,898,9.1
Bronx,Not SWD,2016,10303,8772,85.1,1104,10.7
Bronx,Not SWD,2015,10508,8753,83.3,1331,12.7
Bronx,Not SWD,2014,10641,8496,79.8,1680,15.8
Bronx,Not SWD,2013,10520,8317,79.1,1460,13.9
Bronx,Not SWD,2012,10768,8291,77.0,1625,15.1
Bronx,Not SWD,2018,9385,8317,88.6,798,8.5
Bronx,Not SWD,2017,9880,8695,88.0,906,9.2
Bronx,Not SWD,2016,10303,8738,84.8,1108,10.8
Bronx,Not SWD,2015,10508,8702,82.8,1353,12.9
Bronx,Not SWD,2014,10641,8422,79.1,1699,16.0
Bronx,Not SWD,2013,10520,8258,78.5,1461,13.9
Bronx,Not SWD,2012,10768,8225,76.4,1629,15.1
Bronx,Not SWD,2017,9866,8770,88.9,939,9.5
Bronx,Not SWD,2016,10310,8876,86.1,1228,11.9
Bronx,Not SWD,2015,10506,8888,84.6,1348,12.8
Bronx,Not SWD,2014,10623,8687,81.8,1638,15.4
Bronx,Not SWD,2013,10478,8479,80.9,1607,15.3
Bronx,Not SWD,2012,10746,8504,79.1,1724,16.0
Bronx,SWD,2019,3041,1822,59.9,344,11.3
Bronx,SWD,2018,3078,1792,58.2,358,11.6
Bronx,SWD,2017,3292,1781,54.1,407,12.4
Bronx,SWD,2016,3068,1554,50.7,412,13.4
Bronx,SWD,2015,3346,1516,45.3,643,19.2
Bronx,SWD,2014,3228,1390,43.1,599,18.6
Bronx,SWD,2013,3118,1237,39.7,583,18.7
Bronx,SWD,2012,3011,1198,39.8,557,18.5
Bronx,SWD,2019,3041,1752,57.6,349,11.5
Bronx,SWD,2018,3078,1729,56.2,359,11.7
Bronx,SWD,2017,3292,1678,51.0,409,12.4
Bronx,SWD,2016,3068,1493,48.7,415,13.5
Bronx,SWD,2015,3346,1399,41.8,648,19.4
Bronx,SWD,2014,3228,1264,39.2,599,18.6
Bronx,SWD,2013,3118,1139,36.5,583,18.7
Bronx,SWD,2012,3011,1112,36.9,557,18.5
Bronx,SWD,2018,3001,1936,64.5,477,15.9
Bronx,SWD,2017,3179,1898,59.7,563,17.7
Bronx,SWD,2016,3039,1776,58.4,584,19.2
Bronx,SWD,2015,3304,1731,52.4,786,23.8
Bronx,SWD,2014,3188,1570,49.2,891,27.9
Bronx,SWD,2013,3114,1455,46.7,804,25.8
Bronx,SWD,2012,3034,1372,45.2,752,24.8
Bronx,SWD,2018,3001,1923,64.1,478,15.9
Bronx,SWD,2017,3179,1885,59.3,570,17.9
Bronx,SWD,2016,3039,1757,57.8,586,19.3
Bronx,SWD,2015,3304,1708,51.7,795,24.1
Bronx,SWD,2014,3188,1546,48.5,897,28.1
Bronx,SWD,2013,3114,1429,45.9,804,25.8
