Borough,Year,Category,Number Tested,Mean Scale Score
BRONX,2024,Econ Disadv,7686,444
BRONX,2024,Not Econ Disadv,2260,444
BRONX,2024,Econ Disadv,8097,445
BRONX,2024,Not Econ Disadv,2192,446
BRONX,2024,Econ Disadv,8563,442
BRONX,2024,Not Econ Disadv,1866,447
BRONX,2024,Econ Disadv,7815,441
BRONX,2024,Not Econ Disadv,2780,443
BRONX,2024,Econ Disadv,8716,448
BRONX,2024,Not Econ Disadv,1951,447
BRONX,2024,Econ Disadv,6572,441
BRONX,2024,Not Econ Disadv,1369,441
BRONX,2024,Econ Disadv,47449,444
BRONX,2024,Not Econ Disadv,12418,445
BRONX,2023,Econ Disadv,9142,441
BRONX,2023,Not Econ Disadv,1069,455
BRONX,2023,Econ Disadv,9894,439
BRONX,2023,Not Econ Disadv,1135,454
BRONX,2023,Econ Disadv,10172,439
BRONX,2023,Not Econ Disadv,1220,453
BRONX,2023,Econ Disadv,9817,438
BRONX,2023,Not Econ Disadv,903,450
BRONX,2023,Econ Disadv,9938,442
BRONX,2023,Not Econ Disadv,1311,453
BRONX,2023,Econ Disadv,7746,439
BRONX,2023,Not Econ Disadv,913,445
BRONX,2023,Econ Disadv,56709,440
BRONX,2023,Not Econ Disadv,6551,452
BRONX,2022,Econ Disadv,9709,586
BRONX,2022,Not Econ Disadv,1165,597
BRONX,2022,Econ Disadv,10118,583
BRONX,2022,Not Econ Disadv,1305,595
BRONX,2022,Econ Disadv,10186,585
BRONX,2022,Not Econ Disadv,1301,594
BRONX,2022,Econ Disadv,9981,586
BRONX,2022,Not Econ Disadv,1024,594
BRONX,2022,Econ Disadv,9922,589
BRONX,2022,Not Econ Disadv,1437,594
BRONX,2022,Econ Disadv,8132,590
BRONX,2022,Not Econ Disadv,994,593
BRONX,2022,Econ Disadv,58048,587
BRONX,2022,Not Econ Disadv,7226,595
BRONX,2019,Econ Disadv,12729,592
BRONX,2019,Not Econ Disadv,1731,600
BRONX,2019,Econ Disadv,13248,592
BRONX,2019,Not Econ Disadv,1798,600
BRONX,2019,Econ Disadv,12953,592
BRONX,2019,Not Econ Disadv,1796,599
BRONX,2019,Econ Disadv,12393,591
BRONX,2019,Not Econ Disadv,1736,598
BRONX,2019,Econ Disadv,12303,592
BRONX,2019,Not Econ Disadv,1825,598
BRONX,2019,Econ Disadv,10866,595
BRONX,2019,Not Econ Disadv,1752,601
BRONX,2019,Econ Disadv,74492,592
BRONX,2019,Not Econ Disadv,10638,599
BRONX,2018,Econ Disadv,13483,591
BRONX,2018,Not Econ Disadv,1699,599
BRONX,2018,Econ Disadv,13397,590
BRONX,2018,Not Econ Disadv,1693,599
BRONX,2018,Econ Disadv,13406,590
BRONX,2018,Not Econ Disadv,1802,597
BRONX,2018,Econ Disadv,12628,590
BRONX,2018,Not Econ Disadv,1539,596
BRONX,2018,Econ Disadv,12637,590
BRONX,2018,Not Econ Disadv,1746,597
BRONX,2018,Econ Disadv,10776,594
BRONX,2018,Not Econ Disadv,1572,599
BRONX,2018,Econ Disadv,76327,591
BRONX,2018,Not Econ Disadv,10051,598
BROOKLYN,2024,Econ Disadv,9797,452
BROOKLYN,2024,Not Econ Disadv,5408,460
BROOKLYN,2024,Econ Disadv,9909,457
BROOKLYN,2024,Not Econ Disadv,5403,464
BROOKLYN,2024,Econ Disadv,9876,452
BROOKLYN,2024,Not Econ Disadv,4726,460
BROOKLYN,2024,Econ Disadv,9336,450
BROOKLYN,2024,Not Econ Disadv,6426,460
BROOKLYN,2024,Econ Disadv,11173,459
BROOKLYN,2024,Not Econ Disadv,4278,466
BROOKLYN,2024,Econ Disadv,7654,454
BROOKLYN,2024,Not Econ Disadv,2409,461
BROOKLYN,2024,Econ Disadv,57745,454
BROOKLYN,2024,Not Econ Disadv,28650,462
BROOKLYN,2023,Econ Disadv,10906,452
