Borough,Year,Category,Number Tested,Mean Scale Score
BRONX,2024,Not SWD,7471,448
BRONX,2024,SWD,2475,432
BRONX,2024,Not SWD,7699,450
BRONX,2024,SWD,2590,432
BRONX,2024,Not SWD,7687,447
BRONX,2024,SWD,2742,430
BRONX,2024,Not SWD,7813,445
BRONX,2024,SWD,2782,430
BRONX,2024,Not SWD,8090,452
BRONX,2024,SWD,2577,435
BRONX,2024,Not SWD,5693,447
BRONX,2024,SWD,2248,428
BRONX,2024,Not SWD,44453,448
BRONX,2024,SWD,15414,431
BRONX,2023,Not SWD,7848,446
BRONX,2023,SWD,2363,431
BRONX,2023,Not SWD,8283,445
BRONX,2023,SWD,2746,428
BRONX,2023,Not SWD,8549,445
BRONX,2023,SWD,2843,429
BRONX,2023,Not SWD,8073,443
BRONX,2023,SWD,2647,428
BRONX,2023,Not SWD,8331,448
BRONX,2023,SWD,2918,430
BRONX,2023,Not SWD,6431,444
BRONX,2023,SWD,2228,427
BRONX,2023,Not SWD,47515,445
BRONX,2023,SWD,15745,429
BRONX,2022,Not SWD,8269,590
BRONX,2022,SWD,2605,578
BRONX,2022,Not SWD,8619,588
BRONX,2022,SWD,2804,574
BRONX,2022,Not SWD,8689,589
BRONX,2022,SWD,2798,576
BRONX,2022,Not SWD,8168,590
BRONX,2022,SWD,2837,577
BRONX,2022,Not SWD,8568,594
BRONX,2022,SWD,2791,578
BRONX,2022,Not SWD,6711,595
BRONX,2022,SWD,2415,580
BRONX,2022,Not SWD,49024,591
BRONX,2022,SWD,16250,577
BRONX,2019,Not SWD,10961,596
BRONX,2019,SWD,3499,583
BRONX,2019,Not SWD,11335,596
BRONX,2019,SWD,3711,581
BRONX,2019,Not SWD,10971,596
BRONX,2019,SWD,3778,581
BRONX,2019,Not SWD,10542,596
BRONX,2019,SWD,3587,580
BRONX,2019,Not SWD,10576,597
BRONX,2019,SWD,3552,581
BRONX,2019,Not SWD,9435,600
BRONX,2019,SWD,3183,583
BRONX,2019,Not SWD,63820,597
BRONX,2019,SWD,21310,582
BRONX,2018,Not SWD,11692,595
BRONX,2018,SWD,3490,581
BRONX,2018,Not SWD,11326,595
BRONX,2018,SWD,3764,581
BRONX,2018,Not SWD,11428,595
BRONX,2018,SWD,3780,581
BRONX,2018,Not SWD,10500,594
BRONX,2018,SWD,3667,579
BRONX,2018,Not SWD,10779,595
BRONX,2018,SWD,3604,579
BRONX,2018,Not SWD,9190,599
BRONX,2018,SWD,3158,583
BRONX,2018,Not SWD,64915,595
BRONX,2018,SWD,21463,581
BROOKLYN,2024,Not SWD,12158,458
BROOKLYN,2024,SWD,3047,440
BROOKLYN,2024,Not SWD,12254,464
BROOKLYN,2024,SWD,3058,441
BROOKLYN,2024,Not SWD,11499,459
BROOKLYN,2024,SWD,3103,437
BROOKLYN,2024,Not SWD,12685,458
BROOKLYN,2024,SWD,3077,435
BROOKLYN,2024,Not SWD,12429,466
BROOKLYN,2024,SWD,3022,441
BROOKLYN,2024,Not SWD,7866,462
BROOKLYN,2024,SWD,2197,433
BROOKLYN,2024,Not SWD,68891,461
BROOKLYN,2024,SWD,17504,438
BROOKLYN,2023,Not SWD,12138,460
BROOKLYN,2023,SWD,2792,440
BROOKLYN,2023,Not SWD,12039,460
BROOKLYN,2023,SWD,3013,439
BROOKLYN,2023,Not SWD,12830,458
