Borough,Grade,Year,Category_Econ,Number Tested_Econ,Mean Scale Score_Econ,Category_Ethnicity,Number Tested_Ethnicity,Mean Scale Score_Ethnicity,Category,Number Tested,Mean Scale Score
BRONX,3,2024,Econ Disadv,7642,436,Asian,571,446,Not SWD,7033,441.0
BRONX,3,2024,Econ Disadv,7642,436,Asian,571,446,SWD,2446,442.0
BRONX,3,2024,Econ Disadv,7642,436,Black,2005,437,Not SWD,7033,441.0
BRONX,3,2024,Econ Disadv,7642,436,Black,2005,437,SWD,2446,442.0
BRONX,3,2024,Econ Disadv,7642,436,Hispanic,6250,436,Not SWD,7033,441.0
BRONX,3,2024,Econ Disadv,7642,436,Hispanic,6250,436,SWD,2446,442.0
BRONX,3,2024,Econ Disadv,7642,436,Multi-Racial,95,446,Not SWD,7033,441.0
BRONX,3,2024,Econ Disadv,7642,436,Multi-Racial,95,446,SWD,2446,442.0
BRONX,3,2024,Econ Disadv,7642,436,Native American,103,436,Not SWD,7033,441.0
BRONX,3,2024,Econ Disadv,7642,436,Native American,103,436,SWD,2446,442.0
BRONX,3,2024,Econ Disadv,7642,436,White,450,446,Not SWD,7033,441.0
BRONX,3,2024,Econ Disadv,7642,436,White,450,446,SWD,2446,442.0
BRONX,3,2024,Not Econ Disadv,1837,440,Asian,571,446,Not SWD,7033,441.0
BRONX,3,2024,Not Econ Disadv,1837,440,Asian,571,446,SWD,2446,442.0
BRONX,3,2024,Not Econ Disadv,1837,440,Black,2005,437,Not SWD,7033,441.0
BRONX,3,2024,Not Econ Disadv,1837,440,Black,2005,437,SWD,2446,442.0
BRONX,3,2024,Not Econ Disadv,1837,440,Hispanic,6250,436,Not SWD,7033,441.0
BRONX,3,2024,Not Econ Disadv,1837,440,Hispanic,6250,436,SWD,2446,442.0
BRONX,3,2024,Not Econ Disadv,1837,440,Multi-Racial,95,446,Not SWD,7033,441.0
BRONX,3,2024,Not Econ Disadv,1837,440,Multi-Racial,95,446,SWD,2446,442.0
BRONX,3,2024,Not Econ Disadv,1837,440,Native American,103,436,Not SWD,7033,441.0
BRONX,3,2024,Not Econ Disadv,1837,440,Native American,103,436,SWD,2446,442.0
BRONX,3,2024,Not Econ Disadv,1837,440,White,450,446,Not SWD,7033,441.0
BRONX,3,2024,Not Econ Disadv,1837,440,White,450,446,SWD,2446,442.0
BRONX,4,2024,Econ Disadv,8077,437,Asian,532,448,Not SWD,7347,
BRONX,4,2024,Econ Disadv,8077,437,Asian,532,448,SWD,2568,426.0
BRONX,4,2024,Econ Disadv,8077,437,Black,2219,437,Not SWD,7347,
BRONX,4,2024,Econ Disadv,8077,437,Black,2219,437,SWD,2568,426.0
BRONX,4,2024,Econ Disadv,8077,437,Hispanic,6553,437,Not SWD,7347,
BRONX,4,2024,Econ Disadv,8077,437,Hispanic,6553,437,SWD,2568,426.0
BRONX,4,2024,Econ Disadv,8077,437,Multi-Racial,76,446,Not SWD,7347,
BRONX,4,2024,Econ Disadv,8077,437,Multi-Racial,76,446,SWD,2568,426.0
BRONX,4,2024,Econ Disadv,8077,437,Native American,96,437,Not SWD,7347,
BRONX,4,2024,Econ Disadv,8077,437,Native American,96,437,SWD,2568,426.0
BRONX,4,2024,Econ Disadv,8077,437,White,433,446,Not SWD,7347,
BRONX,4,2024,Econ Disadv,8077,437,White,433,446,SWD,2568,426.0
BRONX,4,2024,Not Econ Disadv,1838,441,Asian,532,448,Not SWD,7347,
BRONX,4,2024,Not Econ Disadv,1838,441,Asian,532,448,SWD,2568,426.0
BRONX,4,2024,Not Econ Disadv,1838,441,Black,2219,437,Not SWD,7347,
BRONX,4,2024,Not Econ Disadv,1838,441,Black,2219,437,SWD,2568,426.0
BRONX,4,2024,Not Econ Disadv,1838,441,Hispanic,6553,437,Not SWD,7347,
BRONX,4,2024,Not Econ Disadv,1838,441,Hispanic,6553,437,SWD,2568,426.0
BRONX,4,2024,Not Econ Disadv,1838,441,Multi-Racial,76,446,Not SWD,7347,
BRONX,4,2024,Not Econ Disadv,1838,441,Multi-Racial,76,446,SWD,2568,426.0
BRONX,4,2024,Not Econ Disadv,1838,441,Native American,96,437,Not SWD,7347,
BRONX,4,2024,Not Econ Disadv,1838,441,Native American,96,437,SWD,2568,426.0
BRONX,4,2024,Not Econ Disadv,1838,441,White,433,446,Not SWD,7347,
BRONX,4,2024,Not Econ Disadv,1838,441,White,433,446,SWD,2568,426.0
BRONX,5,2024,Econ Disadv,8807,435,Asian,542,447,Not SWD,7878,440.0
BRONX,5,2024,Econ Disadv,8807,435,Asian,542,447,SWD,2757,423.0
BRONX,5,2024,Econ Disadv,8807,435,Black,2378,435,Not SWD,7878,440.0
BRONX,5,2024,Econ Disadv,8807,435,Black,2378,435,SWD,2757,423.0
BRONX,5,2024,Econ Disadv,8807,435,Hispanic,6987,434,Not SWD,7878,440.0
BRONX,5,2024,Econ Disadv,8807,435,Hispanic,6987,434,SWD,2757,423.0
BRONX,5,2024,Econ Disadv,8807,435,Multi-Racial,89,446,Not SWD,7878,440.0
BRONX,5,2024,Econ Disadv,8807,435,Multi-Racial,89,446,SWD,2757,423.0
BRONX,5,2024,Econ Disadv,8807,435,Native American,116,440,Not SWD,7878,440.0
BRONX,5,2024,Econ Disadv,8807,435,Native American,116,440,SWD,2757,423.0
BRONX,5,2024,Econ Disadv,8807,435,White,444,445,Not SWD,7878,440.0
BRONX,5,2024,Econ Disadv,8807,435,White,444,445,SWD,2757,423.0
BRONX,5,2024,Not Econ Disadv,1828,440,Asian,542,447,Not SWD,7878,440.0
BRONX,5,2024,Not Econ Disadv,1828,440,Asian,542,447,SWD,2757,423.0
BRONX,5,2024,Not Econ Disadv,1828,440,Black,2378,435,Not SWD,7878,440.0
BRONX,5,2024,Not Econ Disadv,1828,440,Black,2378,435,SWD,2757,423.0
BRONX,5,2024,Not Econ Disadv,1828,440,Hispanic,6987,434,Not SWD,7878,440.0
BRONX,5,2024,Not Econ Disadv,1828,440,Hispanic,6987,434,SWD,2757,423.0
BRONX,5,2024,Not Econ Disadv,1828,440,Multi-Racial,89,446,Not SWD,7878,440.0
BRONX,5,2024,Not Econ Disadv,1828,440,Multi-Racial,89,446,SWD,2757,423.0
BRONX,5,2024,Not Econ Disadv,1828,440,Native American,116,440,Not SWD,7878,440.0
BRONX,5,2024,Not Econ Disadv,1828,440,Native American,116,440,SWD,2757,423.0
BRONX,5,2024,Not Econ Disadv,1828,440,White,444,445,Not SWD,7878,440.0
BRONX,5,2024,Not Econ Disadv,1828,440,White,444,445,SWD,2757,423.0
BRONX,6,2024,Econ Disadv,7867,436,Asian,530,451,Not SWD,7456,441.0
BRONX,6,2024,Econ Disadv,7867,436,Asian,530,451,SWD,2813,424.0
BRONX,6,2024,Econ Disadv,7867,436,Black,2275,436,Not SWD,7456,441.0
BRONX,6,2024,Econ Disadv,7867,436,Black,2275,436,SWD,2813,424.0
BRONX,6,2024,Econ Disadv,7867,436,Hispanic,6829,435,Not SWD,7456,441.0
