Borough,Grade,Year,Category_Econ,Number Tested_Econ,Mean Scale Score_Econ,Category_Ethnicity,Number Tested_Ethnicity,Mean Scale Score_Ethnicity,Category,Number Tested,Mean Scale Score
BRONX,3,2024,Econ Disadv,7686,444,Asian,602,458,Not SWD,7471,448
BRONX,3,2024,Econ Disadv,7686,444,Asian,602,458,SWD,2475,432
BRONX,3,2024,Econ Disadv,7686,444,Black,2025,443,Not SWD,7471,448
BRONX,3,2024,Econ Disadv,7686,444,Black,2025,443,SWD,2475,432
BRONX,3,2024,Econ Disadv,7686,444,Hispanic,6649,442,Not SWD,7471,448
BRONX,3,2024,Econ Disadv,7686,444,Hispanic,6649,442,SWD,2475,432
BRONX,3,2024,Econ Disadv,7686,444,Multi-Racial,93,455,Not SWD,7471,448
BRONX,3,2024,Econ Disadv,7686,444,Multi-Racial,93,455,SWD,2475,432
BRONX,3,2024,Econ Disadv,7686,444,Native American,104,441,Not SWD,7471,448
BRONX,3,2024,Econ Disadv,7686,444,Native American,104,441,SWD,2475,432
BRONX,3,2024,Econ Disadv,7686,444,White,468,456,Not SWD,7471,448
BRONX,3,2024,Econ Disadv,7686,444,White,468,456,SWD,2475,432
BRONX,3,2024,Not Econ Disadv,2260,444,Asian,602,458,Not SWD,7471,448
BRONX,3,2024,Not Econ Disadv,2260,444,Asian,602,458,SWD,2475,432
BRONX,3,2024,Not Econ Disadv,2260,444,Black,2025,443,Not SWD,7471,448
BRONX,3,2024,Not Econ Disadv,2260,444,Black,2025,443,SWD,2475,432
BRONX,3,2024,Not Econ Disadv,2260,444,Hispanic,6649,442,Not SWD,7471,448
BRONX,3,2024,Not Econ Disadv,2260,444,Hispanic,6649,442,SWD,2475,432
BRONX,3,2024,Not Econ Disadv,2260,444,Multi-Racial,93,455,Not SWD,7471,448
BRONX,3,2024,Not Econ Disadv,2260,444,Multi-Racial,93,455,SWD,2475,432
BRONX,3,2024,Not Econ Disadv,2260,444,Native American,104,441,Not SWD,7471,448
BRONX,3,2024,Not Econ Disadv,2260,444,Native American,104,441,SWD,2475,432
BRONX,3,2024,Not Econ Disadv,2260,444,White,468,456,Not SWD,7471,448
BRONX,3,2024,Not Econ Disadv,2260,444,White,468,456,SWD,2475,432
BRONX,4,2024,Econ Disadv,8097,445,Asian,555,463,Not SWD,7699,450
BRONX,4,2024,Econ Disadv,8097,445,Asian,555,463,SWD,2590,432
BRONX,4,2024,Econ Disadv,8097,445,Black,2233,443,Not SWD,7699,450
BRONX,4,2024,Econ Disadv,8097,445,Black,2233,443,SWD,2590,432
BRONX,4,2024,Econ Disadv,8097,445,Hispanic,6865,443,Not SWD,7699,450
BRONX,4,2024,Econ Disadv,8097,445,Hispanic,6865,443,SWD,2590,432
BRONX,4,2024,Econ Disadv,8097,445,Multi-Racial,73,458,Not SWD,7699,450
BRONX,4,2024,Econ Disadv,8097,445,Multi-Racial,73,458,SWD,2590,432
BRONX,4,2024,Econ Disadv,8097,445,Native American,97,444,Not SWD,7699,450
BRONX,4,2024,Econ Disadv,8097,445,Native American,97,444,SWD,2590,432
BRONX,4,2024,Econ Disadv,8097,445,White,459,459,Not SWD,7699,450
BRONX,4,2024,Econ Disadv,8097,445,White,459,459,SWD,2590,432
BRONX,4,2024,Not Econ Disadv,2192,446,Asian,555,463,Not SWD,7699,450
BRONX,4,2024,Not Econ Disadv,2192,446,Asian,555,463,SWD,2590,432
BRONX,4,2024,Not Econ Disadv,2192,446,Black,2233,443,Not SWD,7699,450
BRONX,4,2024,Not Econ Disadv,2192,446,Black,2233,443,SWD,2590,432
BRONX,4,2024,Not Econ Disadv,2192,446,Hispanic,6865,443,Not SWD,7699,450
BRONX,4,2024,Not Econ Disadv,2192,446,Hispanic,6865,443,SWD,2590,432
BRONX,4,2024,Not Econ Disadv,2192,446,Multi-Racial,73,458,Not SWD,7699,450
BRONX,4,2024,Not Econ Disadv,2192,446,Multi-Racial,73,458,SWD,2590,432
BRONX,4,2024,Not Econ Disadv,2192,446,Native American,97,444,Not SWD,7699,450
BRONX,4,2024,Not Econ Disadv,2192,446,Native American,97,444,SWD,2590,432
BRONX,4,2024,Not Econ Disadv,2192,446,White,459,459,Not SWD,7699,450
BRONX,4,2024,Not Econ Disadv,2192,446,White,459,459,SWD,2590,432
BRONX,5,2024,Econ Disadv,8563,442,Asian,551,461,Not SWD,7687,447
BRONX,5,2024,Econ Disadv,8563,442,Asian,551,461,SWD,2742,430
BRONX,5,2024,Econ Disadv,8563,442,Black,2379,440,Not SWD,7687,447
BRONX,5,2024,Econ Disadv,8563,442,Black,2379,440,SWD,2742,430
BRONX,5,2024,Econ Disadv,8563,442,Hispanic,6752,441,Not SWD,7687,447
BRONX,5,2024,Econ Disadv,8563,442,Hispanic,6752,441,SWD,2742,430
BRONX,5,2024,Econ Disadv,8563,442,Multi-Racial,87,454,Not SWD,7687,447
BRONX,5,2024,Econ Disadv,8563,442,Multi-Racial,87,454,SWD,2742,430
BRONX,5,2024,Econ Disadv,8563,442,Native American,118,446,Not SWD,7687,447
BRONX,5,2024,Econ Disadv,8563,442,Native American,118,446,SWD,2742,430
BRONX,5,2024,Econ Disadv,8563,442,White,448,457,Not SWD,7687,447
BRONX,5,2024,Econ Disadv,8563,442,White,448,457,SWD,2742,430
BRONX,5,2024,Not Econ Disadv,1866,447,Asian,551,461,Not SWD,7687,447
BRONX,5,2024,Not Econ Disadv,1866,447,Asian,551,461,SWD,2742,430
